task_display,strategy,seed,delta_macro_f1_mean,delta_macro_f1_ci_low,delta_macro_f1_ci_high,p_two_sided
current,text_plus_vadlex_emoflow,12,0.0006341331172734,-0.0010362873232224,0.0022612138011027,0.448
current,text_plus_vadbert_global,12,-0.0003320242685731,-0.0019190550345228,0.0012795919086784,0.678
current,text_plus_vadbert_emoflow,12,-0.000100671488326,-0.001869023204199,0.0016541460150619,0.932
current,text_plus_all_affective,12,0.0014778045006096,-0.0003501349070575,0.0032694432302378,0.114
current,text_plus_vadlex_emoflow,24,0.0006363235879689,-0.0010450725647388,0.002310840220889,0.4866666666666667
current,text_plus_vadbert_global,24,-0.0012948574731126,-0.0030469372693914,0.000374217359058,0.1293333333333333
current,text_plus_vadbert_emoflow,24,0.0016204287530854,2.563600755820517e-05,0.0032040175865404,0.048
current,text_plus_all_affective,24,0.0027056140825152,0.001070357489516,0.0043317978852428,0.0
current,text_plus_vadlex_emoflow,42,-4.366304892755579e-06,-0.0014559011207893,0.0014476135198492,0.9946666666666668
current,text_plus_vadbert_global,42,-0.0021864140871912,-0.0038157426635734,-0.0004406640531669,0.0106666666666666
current,text_plus_vadbert_emoflow,42,0.0007677305256947,-0.0007807637550286,0.0022955050284508,0.326
current,text_plus_all_affective,42,-0.0002679243916645,-0.0017588310904102,0.001242270466173,0.7426666666666667
current,text_plus_vadlex_emoflow,73,0.0009804673027247,-0.0008303181093651,0.0028228484501596,0.3006666666666667
current,text_plus_vadbert_global,73,0.0022187021095305,0.0001492617000621,0.0042352466960437,0.0373333333333333
current,text_plus_vadbert_emoflow,73,0.0023421111982315,0.0003596319329517,0.004290915117599,0.0186666666666666
current,text_plus_all_affective,73,0.0009052600944414,-0.0010681691317586,0.002878063567914,0.3686666666666666
current,text_plus_vadlex_emoflow,105,9.252528980141506e-05,-0.001645225440734,0.0018322070885915,0.91
current,text_plus_vadbert_global,105,0.000918544945307,-0.0006913789256941,0.0024589016917161,0.2426666666666666
current,text_plus_vadbert_emoflow,105,-0.001616544672288,-0.0034627023618668,0.0001282100132812,0.0673333333333333
current,text_plus_all_affective,105,-0.0021441571880131,-0.0036857574130408,-0.0006069230657885,0.0073333333333333
forecast,text_plus_vadlex_emoflow,12,0.001248148153536,-0.0005667707693646,0.0030642153113149,0.1846666666666666
forecast,text_plus_vadbert_global,12,-0.0023242658935487,-0.0043506684713065,-0.0003552571062755,0.02
forecast,text_plus_vadbert_emoflow,12,0.0005573108210228,-0.0012312096921959,0.0024255388998426,0.5506666666666666
forecast,text_plus_all_affective,12,0.0026408275589346,0.0006964328495087,0.0046776852570474,0.008
forecast,text_plus_vadlex_emoflow,24,-0.0002868549781851,-0.0019338309182785,0.0014378539141034,0.7246666666666667
forecast,text_plus_vadbert_global,24,-0.0021322641987353,-0.0039794498705305,-0.0003507722984068,0.022
forecast,text_plus_vadbert_emoflow,24,-0.0021842552814632,-0.0040792771265842,-0.0002610881769214,0.0266666666666666
forecast,text_plus_all_affective,24,0.000876436010003,-0.0008934069861425,0.0026380910654552,0.342
forecast,text_plus_vadlex_emoflow,42,0.0027525222394615,0.0007426348995068,0.0047321768593974,0.008
forecast,text_plus_vadbert_global,42,0.0021538804285228,0.0001208066792969,0.0042696259450167,0.0393333333333333
forecast,text_plus_vadbert_emoflow,42,0.0019358803983777,-5.649945733239292e-05,0.00377954292926,0.056
forecast,text_plus_all_affective,42,0.0042619719170033,0.0023861610621679,0.0061835149419493,0.0
forecast,text_plus_vadlex_emoflow,73,0.0023663106840103,0.000494502139918,0.0041397884837351,0.0133333333333333
forecast,text_plus_vadbert_global,73,0.0014992856886237,-0.0003243942090193,0.003357199835591,0.118
forecast,text_plus_vadbert_emoflow,73,0.0028835125267505,0.0012330302008194,0.0045806611189618,0.0026666666666666
forecast,text_plus_all_affective,73,0.0002415172493783,-0.0015532415738562,0.00202335214708,0.7893333333333333
forecast,text_plus_vadlex_emoflow,105,-8.36313993204385e-05,-0.0019487746758386,0.0016902559145819,0.928
forecast,text_plus_vadbert_global,105,-0.0016525731189176,-0.0038151672924868,0.0004803177514986,0.126
forecast,text_plus_vadbert_emoflow,105,0.0002003328409045,-0.0016724141169106,0.0020560503005981,0.836
forecast,text_plus_all_affective,105,0.0007099911454133,-0.001265195722226,0.0026421804679557,0.47
transition,text_plus_vadlex_emoflow,12,0.0003265680861659,-0.0010993292176863,0.0017923129664268,0.674
transition,text_plus_vadbert_global,12,-0.0001341228489764,-0.0016852476022904,0.001454360972275,0.87
transition,text_plus_vadbert_emoflow,12,-0.0024844240397214,-0.0040611297241412,-0.000859277001291,0.0013333333333333
transition,text_plus_all_affective,12,0.0005445501883514,-0.0011005622538505,0.0021375199255999,0.494
transition,text_plus_vadlex_emoflow,24,0.0020380818750709,0.0005188458613702,0.0036281773762311,0.0093333333333333
transition,text_plus_vadbert_global,24,0.0006518018781207,-0.0008672331343404,0.0022212591778952,0.4166666666666667
transition,text_plus_vadbert_emoflow,24,0.0036829563323408,0.0021499146940186,0.0052238301257602,0.0
transition,text_plus_all_affective,24,0.0033023939467966,0.0018502970488043,0.0047249917406588,0.0
transition,text_plus_vadlex_emoflow,42,-0.0014619044959545,-0.0029924295959062,2.736966316661031e-05,0.0573333333333333
transition,text_plus_vadbert_global,42,0.0002438176015857,-0.0012394481542287,0.0017272585828322,0.7533333333333333
transition,text_plus_vadbert_emoflow,42,0.0001131294338847,-0.0014202842547092,0.0016599794704234,0.882
transition,text_plus_all_affective,42,0.000688676489517,-0.0008738229240407,0.0022520311409607,0.39
transition,text_plus_vadlex_emoflow,73,-0.0007199646788649,-0.0022441124310716,0.0007507978851208,0.346
transition,text_plus_vadbert_global,73,0.0022268802858889,0.0006143846636405,0.0038395837589632,0.0046666666666666
transition,text_plus_vadbert_emoflow,73,-0.0005071746418252,-0.0020495145989116,0.0010339257161831,0.51
transition,text_plus_all_affective,73,-0.0010632084449753,-0.0027869808895047,0.0007425554300425,0.2346666666666666
transition,text_plus_vadlex_emoflow,105,-0.0007804908091202,-0.002320646616863,0.0007350997577304,0.322
transition,text_plus_vadbert_global,105,-0.0014735860750079,-0.0027951031224802,-6.923642940819241e-05,0.0393333333333333
transition,text_plus_vadbert_emoflow,105,-0.000869044160936,-0.002357082121307,0.0005794080658233,0.234
transition,text_plus_all_affective,105,-0.0006815401138737,-0.0020425983704626,0.0007086498881108,0.3373333333333333
forecast-transition,text_plus_vadlex_emoflow,12,0.0025787311606109,0.0010190645494731,0.0042304696049541,0.0013333333333333
forecast-transition,text_plus_vadbert_global,12,-1.4080017081141705e-06,-0.0015423081931658,0.0015646725601982,0.9973333333333332
forecast-transition,text_plus_vadbert_emoflow,12,0.0012140425387769,-0.000247402919922,0.0026558761135675,0.1133333333333333
forecast-transition,text_plus_all_affective,12,0.0010773562826216,-0.0005114264567964,0.002643976768013,0.1793333333333333
forecast-transition,text_plus_vadlex_emoflow,24,0.0032834301237016,0.0017740515671903,0.0048231887049041,0.0
forecast-transition,text_plus_vadbert_global,24,0.0020886990241706,0.0006405466192518,0.0035518469987437,0.0046666666666666
forecast-transition,text_plus_vadbert_emoflow,24,0.0036880830302834,0.0021365013264585,0.0052497697761282,0.0
forecast-transition,text_plus_all_affective,24,0.0025450324174016,0.0011567878216737,0.0038758007576689,0.0006666666666666
forecast-transition,text_plus_vadlex_emoflow,42,0.0004949989379383,-0.000758141335973,0.0017859374231193,0.468
forecast-transition,text_plus_vadbert_global,42,-0.0015768092125654,-0.0029981007333844,-0.0002247201966383,0.0233333333333333
forecast-transition,text_plus_vadbert_emoflow,42,-6.596111052203923e-05,-0.0013848813803633,0.0012879487330792,0.916
forecast-transition,text_plus_all_affective,42,-0.0006708070286549,-0.0021091481437906,0.0008022441528737,0.3586666666666667
