task_display,strategy,delta_macro_f1_mean,delta_macro_f1_std,ci_low_mean,ci_high_mean,p_two_sided_median
current,text_plus_all_affective,0.0005353194195777,0.0018412026413317,-0.0011585070105502,0.0022229304167558,0.114
current,text_plus_vadbert_emoflow,0.0006026108632795,0.0015417795345106,-0.0011454442761169,0.0023145587521867,0.0673333333333333
current,text_plus_vadbert_global,-0.0001352097548078,0.0017494469147186,-0.0018647704386239,0.0015814587204658,0.1293333333333333
current,text_plus_vadlex_emoflow,0.0004678165985751,0.0004131182624564,-0.0012025609117699,0.0021349446161184,0.4866666666666667
forecast,text_plus_all_affective,0.0017461487761465,0.0016750936662696,-0.0001258500741096,0.0036329647758975,0.342
forecast,text_plus_vadbert_emoflow,0.0006785562611185,0.0019288457781928,-0.0011612740384407,0.0025161410143482,0.056
forecast,text_plus_vadbert_global,-0.000491187418811,0.0021424573242532,-0.0024697746328092,0.0014802228254848,0.0393333333333333
forecast,text_plus_vadlex_emoflow,0.0011992989399004,0.0013812466288101,-0.0006424478648114,0.0030128580966265,0.1846666666666666
forecast-transition,text_plus_all_affective,0.0001560744538437,0.0016755375144596,-0.0013518927650875,0.0016631985652929,0.1793333333333333
forecast-transition,text_plus_vadbert_emoflow,0.0006474055597209,0.0019904209885127,-0.0007739520136965,0.0020865189328469,0.1133333333333333
forecast-transition,text_plus_vadbert_global,-0.0009492989546288,0.0030599687382439,-0.0024865933848195,0.0005943395560461,0.0233333333333333
forecast-transition,text_plus_vadlex_emoflow,0.0001949327881447,0.0029817371859793,-0.0012783094806945,0.0017152327182702,0.0013333333333333
transition,text_plus_all_affective,0.0005581744131632,0.0017112664711714,-0.0009907334778108,0.0021131496250745,0.3373333333333333
transition,text_plus_vadbert_emoflow,-1.2911415251437574e-05,0.0022782097561262,-0.00154761920101,0.0015275732753798,0.234
transition,text_plus_vadbert_global,0.0003029581683222,0.0013391989321189,-0.0011945294699398,0.0018346452125115,0.4166666666666667
transition,text_plus_vadlex_emoflow,-0.0001195420045405,0.0013650689348319,-0.0016275344000314,0.0013867515297351,0.322
