task_display,task,strategy,n_test,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,test_micro_p_mean,test_micro_r_mean,baseline_macro_f1,delta_vs_text_macro_f1
current,state_current,text_plus_vadbert_emoflow,22770,0.6260340515554834,0.0010138771172474,0.6063809270268686,0.0015236468252435,0.5135798666958832,0.8018997005108932,0.6057755707564763,0.0006053562703923
current,state_current,text_plus_all_affective,22770,0.6253041303077899,0.0016830416313401,0.6063169087411129,0.0016559040939404,0.5128177471286123,0.8012831052909742,0.6057755707564763,0.0005413379846366
current,state_current,text_plus_vadlex_emoflow,22770,0.6260532855687075,0.0007373143874559,0.6062467652270983,0.0005423300716227,0.5152349816996847,0.7976686828351636,0.6057755707564763,0.000471194470622
current,state_current,text_only,22770,0.6243247315199973,0.0011693202101958,0.6057755707564763,0.0006675284417522,0.5099633912274469,0.8048476128956485,0.6057755707564763,0.0
current,state_current,text_plus_vadbert_global,22770,0.624418996840124,0.0016541594015499,0.6056513821770656,0.0016180252925145,0.5124923253365561,0.7992013623818193,0.6057755707564763,-0.0001241885794106
forecast,forecast_next,text_plus_all_affective,18216,0.6036279999359995,0.0012433610616836,0.5819833028541394,0.0008842674680361,0.4718229660809883,0.8378765651120739,0.5802291216949317,0.0017541811592076
forecast,forecast_next,text_plus_vadlex_emoflow,18216,0.6034972257435293,0.0007858259603643,0.5814228007466271,0.0014023747136143,0.471663516147446,0.8378526832929616,0.5802291216949317,0.0011936790516954
forecast,forecast_next,text_plus_vadbert_emoflow,18216,0.604345318401375,0.0012846863753147,0.5808998401844286,0.0021600442251742,0.4740983193883386,0.8333970181842995,0.5802291216949317,0.0006707184894969
forecast,forecast_next,text_only,18216,0.6030346448698397,0.0019261886112837,0.5802291216949317,0.0013937818914482,0.4768287440406888,0.8208965917232438,0.5802291216949317,0.0
forecast,forecast_next,text_plus_vadbert_global,18216,0.6027828888763092,0.0005339776285275,0.5797382222711829,0.0024526493266105,0.4750764956166184,0.8256968373648117,0.5802291216949317,-0.0004908994237488
transition,change_subset,text_plus_all_affective,12812,0.7231933128262216,0.0012080478629262,0.7049529510794219,0.000729787969671,0.6119432301109108,0.8840343804670268,0.7043910514505496,0.0005618996288723
transition,change_subset,text_plus_vadbert_global,12812,0.7227908207590013,0.0015219510101197,0.7046951059642703,0.0016531926090429,0.6088295888209797,0.8895337339316954,0.7043910514505496,0.0003040545137207
transition,change_subset,text_only,12812,0.7225628639140891,0.0015305001584189,0.7043910514505496,0.0015384123904194,0.6085368000955393,0.8894424583555184,0.7043910514505496,0.0
transition,change_subset,text_plus_vadbert_emoflow,12812,0.7229807004008334,0.0007178689455856,0.7043755525172674,0.001771635610129,0.6106881627448979,0.8862592226363428,0.7043910514505496,-1.5498933282231953e-05
transition,change_subset,text_plus_vadlex_emoflow,12812,0.7228403554452913,0.0007048019029016,0.7042698731326554,0.0009312568783574,0.6098806442510789,0.8872974823153571,0.7043910514505496,-0.0001211783178941
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,12812,0.6884622190297762,0.001146760758492,0.671428021006257,0.001470967924877,0.54507164999697,0.9345211835399712,0.6707824556538495,0.0006455653524074
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,12812,0.6884987895752401,0.0013379213547243,0.6709698837891394,0.0021726353119401,0.546874281983365,0.9298090819198296,0.6707824556538495,0.0001874281352898
forecast-transition,forecast_change_subset,text_plus_all_affective,12812,0.6890027768776548,0.0014733757680075,0.670937189323013,0.0007127470199765,0.548341233694395,0.9271354681676428,0.6707824556538495,0.0001547336691635
forecast-transition,forecast_change_subset,text_only,12812,0.6894748874364234,0.0015321103582302,0.6707824556538495,0.0020426442296685,0.5507841923256661,0.9216513272990036,0.6707824556538495,0.0
forecast-transition,forecast_change_subset,text_plus_vadbert_global,12812,0.68897025286542,0.0012323576327473,0.6698357113174013,0.0020186126819096,0.5516341247117937,0.9180611546360388,0.6707824556538495,-0.0009467443364482
