task_display,task,strategy,factor,bin,n,micro_f1,macro_f1,micro_p,micro_r
current,state_current,text_only,length_bin,short,8095,0.5766049460469412,0.5508125466732213,0.4917991691734708,0.6967529173008625
current,state_current,text_only,length_bin,medium,7500,0.6377339948326967,0.6211762235565561,0.5169471925992548,0.8321750641184744
current,state_current,text_only,length_bin,long,7175,0.6577603263953863,0.6389232143693171,0.5234224337849384,0.8848629910861671
current,state_current,text_only,transition_bin,low,13430,0.5537572381360495,0.5316827046349626,0.4165055123055817,0.825925925925926
current,state_current,text_only,transition_bin,high,9340,0.7088294527081935,0.6915617582174481,0.6361752954358074,0.8002180503111206
current,state_current,text_only,distance_bin,high,7570,0.7199730567912322,0.705928778233015,0.6524160732451678,0.8031370339062647
current,state_current,text_only,distance_bin,low,7590,0.3952284385065012,0.3392566649689728,0.2583109835963326,0.8409990862016449
current,state_current,text_only,distance_bin,medium,7610,0.6807344128522249,0.6588464056489475,0.5864133120984129,0.8112132492592874
current,state_current,text_plus_vadlex_emoflow,length_bin,short,8095,0.577682748692762,0.5494781944755311,0.4956588077160606,0.6922374429223744
current,state_current,text_plus_vadlex_emoflow,length_bin,medium,7500,0.6387117449126742,0.6209374580217791,0.5212626843812114,0.8244808471911972
current,state_current,text_plus_vadlex_emoflow,length_bin,long,7175,0.6599347522137642,0.6401143235328022,0.529174348497683,0.876526906569825
current,state_current,text_plus_vadlex_emoflow,transition_bin,low,13430,0.5567226422247497,0.5333722799674969,0.4218887311566281,0.8182235332677811
current,state_current,text_plus_vadlex_emoflow,transition_bin,high,9340,0.7079148633426217,0.6891882136272747,0.63881101671339,0.7937829069829283
current,state_current,text_plus_vadlex_emoflow,distance_bin,high,7570,0.7189018190035025,0.7040691756664732,0.6548485862042349,0.796844181459566
current,state_current,text_plus_vadlex_emoflow,distance_bin,low,7590,0.3996399639963996,0.3400684028273916,0.2627807281335978,0.8339932988120622
current,state_current,text_plus_vadlex_emoflow,distance_bin,medium,7610,0.6811052784129336,0.6572049940828514,0.5911504919499105,0.8033503000835676
current,state_current,text_plus_vadbert_global,length_bin,short,8095,0.5758273320521214,0.5489272432265293,0.4932165985311674,0.6916793505834602
current,state_current,text_plus_vadbert_global,length_bin,medium,7500,0.6377833431702532,0.6208521226460759,0.5190445281059327,0.8269628526516092
current,state_current,text_plus_vadbert_global,length_bin,long,7175,0.6577905166967162,0.6386423392315195,0.5249010107965865,0.8807774843182569
current,state_current,text_plus_vadbert_global,transition_bin,low,13430,0.5541476188362701,0.5314811584945915,0.4188781158788204,0.8184529662405768
current,state_current,text_plus_vadbert_global,transition_bin,high,9340,0.7073777547194283,0.6898720291783762,0.6354680846556363,0.7976386746795724
current,state_current,text_plus_vadbert_global,distance_bin,high,7570,0.7173891674039123,0.703501298787818,0.6504456327985739,0.799693184308569
current,state_current,text_plus_vadbert_global,distance_bin,low,7590,0.398191576809632,0.339659617236361,0.2613207247802494,0.836125494974109
current,state_current,text_plus_vadbert_global,distance_bin,medium,7610,0.6795702373316228,0.6570845801002589,0.5880279735805073,0.8048697105523057
current,state_current,text_plus_vadbert_emoflow,length_bin,short,8095,0.5788525208499224,0.5517624977123619,0.4930743966871341,0.7007610350076103
current,state_current,text_plus_vadbert_emoflow,length_bin,medium,7500,0.638449379719956,0.6207216904170569,0.5198783119685899,0.8270869529246297
current,state_current,text_plus_vadbert_emoflow,length_bin,long,7175,0.6611590743524962,0.6414224687534889,0.5294278267345166,0.8801584681413007
current,state_current,text_plus_vadbert_emoflow,transition_bin,low,13430,0.556649809244965,0.5333854465154139,0.4206644540547789,0.8225499836119305
current,state_current,text_plus_vadbert_emoflow,transition_bin,high,9340,0.709246316584813,0.6907514595281998,0.6377765510212748,0.7987555177365314
current,state_current,text_plus_vadbert_emoflow,distance_bin,high,7570,0.7203152487509675,0.7055775628173291,0.6542670143682568,0.8011959550421089
current,state_current,text_plus_vadbert_emoflow,distance_bin,low,7590,0.3995563699488861,0.3402940483193137,0.2619913365162677,0.8413036856533658
current,state_current,text_plus_vadbert_emoflow,distance_bin,medium,7610,0.6819589034503778,0.6581881774288391,0.5902262945994724,0.8074527083491605
current,state_current,text_plus_all_affective,length_bin,short,8095,0.57873024603863,0.5517360309655399,0.4963169926339852,0.6939624556062912
current,state_current,text_plus_all_affective,length_bin,medium,7500,0.6367842775595872,0.6194750396890714,0.5171888317793217,0.8283279556548357
current,state_current,text_plus_all_affective,length_bin,long,7175,0.6583941154654469,0.6393763941410007,0.5262598814229249,0.8791267745130406
