task_display,task,strategy,seed,emotion,f1,baseline_f1,delta_vs_text_f1
current,state_current,text_only,12,joy,0.6534896516697,0.6534896516697,0.0
current,state_current,text_only,12,trust,0.6093406356462115,0.6093406356462115,0.0
current,state_current,text_only,12,fear,0.5541886350322203,0.5541886350322203,0.0
current,state_current,text_only,12,surprise,0.6744755617080184,0.6744755617080184,0.0
current,state_current,text_only,12,sadness,0.5767677932864229,0.5767677932864229,0.0
current,state_current,text_only,12,disgust,0.5246661215590079,0.5246661215590079,0.0
current,state_current,text_only,12,anger,0.5270576699148127,0.5270576699148127,0.0
current,state_current,text_only,12,anticipation,0.7279575724703188,0.7279575724703188,0.0
current,state_current,text_only,24,joy,0.6534212626538413,0.6534212626538413,0.0
current,state_current,text_only,24,trust,0.6074307895747131,0.6074307895747131,0.0
current,state_current,text_only,24,fear,0.5506179066834804,0.5506179066834804,0.0
current,state_current,text_only,24,surprise,0.6767367346220203,0.6767367346220203,0.0
current,state_current,text_only,24,sadness,0.574085684430512,0.574085684430512,0.0
current,state_current,text_only,24,disgust,0.5203557037654578,0.5203557037654578,0.0
current,state_current,text_only,24,anger,0.5238530176350734,0.5238530176350734,0.0
current,state_current,text_only,24,anticipation,0.732987106017192,0.732987106017192,0.0
current,state_current,text_only,42,joy,0.6563774759241348,0.6563774759241348,0.0
current,state_current,text_only,42,trust,0.6043636699109738,0.6043636699109738,0.0
current,state_current,text_only,42,fear,0.5498395409899834,0.5498395409899834,0.0
current,state_current,text_only,42,surprise,0.6781097838652047,0.6781097838652047,0.0
current,state_current,text_only,42,sadness,0.5802800466744458,0.5802800466744458,0.0
current,state_current,text_only,42,disgust,0.5286508860432027,0.5286508860432027,0.0
current,state_current,text_only,42,anger,0.5255413075467732,0.5255413075467732,0.0
current,state_current,text_only,42,anticipation,0.7308743588956114,0.7308743588956114,0.0
current,state_current,text_only,73,joy,0.6532924439901184,0.6532924439901184,0.0
current,state_current,text_only,73,trust,0.6052926471855874,0.6052926471855874,0.0
current,state_current,text_only,73,fear,0.556292785676672,0.556292785676672,0.0
current,state_current,text_only,73,surprise,0.6722772983382069,0.6722772983382069,0.0
current,state_current,text_only,73,sadness,0.5782601322706461,0.5782601322706461,0.0
current,state_current,text_only,73,disgust,0.5250194296646141,0.5250194296646141,0.0
current,state_current,text_only,73,anger,0.5276488529372763,0.5276488529372763,0.0
current,state_current,text_only,73,anticipation,0.726186422313717,0.726186422313717,0.0
current,state_current,text_only,105,joy,0.6528261037655609,0.6528261037655609,0.0
current,state_current,text_only,105,trust,0.608815542093169,0.608815542093169,0.0
current,state_current,text_only,105,fear,0.5554271937314782,0.5554271937314782,0.0
current,state_current,text_only,105,surprise,0.675226421270869,0.675226421270869,0.0
current,state_current,text_only,105,sadness,0.5749274521183981,0.5749274521183981,0.0
current,state_current,text_only,105,disgust,0.5248763056624519,0.5248763056624519,0.0
current,state_current,text_only,105,anger,0.5240893066980024,0.5240893066980024,0.0
current,state_current,text_only,105,anticipation,0.7290955760229503,0.7290955760229503,0.0
current,state_current,text_plus_vadlex_emoflow,12,joy,0.656844429347826,0.6534896516697,0.003354777678126
current,state_current,text_plus_vadlex_emoflow,12,trust,0.6111426698710946,0.6093406356462115,0.001802034224883
current,state_current,text_plus_vadlex_emoflow,12,fear,0.5522645353392885,0.5541886350322203,-0.0019240996929317
current,state_current,text_plus_vadlex_emoflow,12,surprise,0.6747393913867538,0.6744755617080184,0.0002638296787353
current,state_current,text_plus_vadlex_emoflow,12,sadness,0.5782928208027134,0.5767677932864229,0.0015250275162904
current,state_current,text_plus_vadlex_emoflow,12,disgust,0.5223443223443224,0.5246661215590079,-0.0023217992146855
current,state_current,text_plus_vadlex_emoflow,12,anger,0.5284267386900743,0.5270576699148127,0.0013690687752615
current,state_current,text_plus_vadlex_emoflow,12,anticipation,0.7288950309439404,0.7279575724703188,0.0009374584736215
current,state_current,text_plus_vadlex_emoflow,24,joy,0.6547336472236274,0.6534212626538413,0.0013123845697861
current,state_current,text_plus_vadlex_emoflow,24,trust,0.6076144665789355,0.6074307895747131,0.0001836770042223
current,state_current,text_plus_vadlex_emoflow,24,fear,0.5517428897710588,0.5506179066834804,0.0011249830875783
current,state_current,text_plus_vadlex_emoflow,24,surprise,0.6775484414490311,0.6767367346220203,0.0008117068270108
current,state_current,text_plus_vadlex_emoflow,24,sadness,0.5772245826102567,0.574085684430512,0.0031388981797446
current,state_current,text_plus_vadlex_emoflow,24,disgust,0.5216242525378946,0.5203557037654578,0.0012685487724367
current,state_current,text_plus_vadlex_emoflow,24,anger,0.5228519195612431,0.5238530176350734,-0.0010010980738303
current,state_current,text_plus_vadlex_emoflow,24,anticipation,0.7312595614482407,0.732987106017192,-0.0017275445689513
current,state_current,text_plus_vadlex_emoflow,42,joy,0.6557208011104502,0.6563774759241348,-0.0006566748136845
current,state_current,text_plus_vadlex_emoflow,42,trust,0.6032008070802953,0.6043636699109738,-0.0011628628306784
current,state_current,text_plus_vadlex_emoflow,42,fear,0.5577121731093351,0.5498395409899834,0.0078726321193516
current,state_current,text_plus_vadlex_emoflow,42,surprise,0.6739915935402994,0.6781097838652047,-0.0041181903249053
current,state_current,text_plus_vadlex_emoflow,42,sadness,0.5808534366379058,0.5802800466744458,0.00057338996346
current,state_current,text_plus_vadlex_emoflow,42,disgust,0.5248756218905473,0.5286508860432027,-0.0037752641526553
current,state_current,text_plus_vadlex_emoflow,42,anger,0.5260347129506008,0.5255413075467732,0.0004934054038275
current,state_current,text_plus_vadlex_emoflow,42,anticipation,0.7316806748187031,0.7308743588956114,0.0008063159230917
current,state_current,text_plus_vadlex_emoflow,73,joy,0.6559050445103858,0.6532924439901184,0.0026126005202673
current,state_current,text_plus_vadlex_emoflow,73,trust,0.6103467979429475,0.6052926471855874,0.0050541507573601
current,state_current,text_plus_vadlex_emoflow,73,fear,0.5546515362380902,0.556292785676672,-0.0016412494385817
current,state_current,text_plus_vadlex_emoflow,73,surprise,0.6735632183908046,0.6722772983382069,0.0012859200525976
current,state_current,text_plus_vadlex_emoflow,73,sadness,0.5791249642550758,0.5782601322706461,0.0008648319844296
current,state_current,text_plus_vadlex_emoflow,73,disgust,0.5318545266958989,0.5250194296646141,0.0068350970312848
current,state_current,text_plus_vadlex_emoflow,73,anger,0.5203835175290932,0.5276488529372763,-0.007265335408183
current,state_current,text_plus_vadlex_emoflow,73,anticipation,0.7264056850766737,0.726186422313717,0.0002192627629566
current,state_current,text_plus_vadlex_emoflow,105,joy,0.6543003000662484,0.6528261037655609,0.0014741963006874
current,state_current,text_plus_vadlex_emoflow,105,trust,0.6113989637305699,0.608815542093169,0.0025834216374008
current,state_current,text_plus_vadlex_emoflow,105,fear,0.5522880956125177,0.5554271937314782,-0.0031390981189605
current,state_current,text_plus_vadlex_emoflow,105,surprise,0.674323042882731,0.675226421270869,-0.0009033783881379
current,state_current,text_plus_vadlex_emoflow,105,sadness,0.5769496204278813,0.5749274521183981,0.0020221683094832
current,state_current,text_plus_vadlex_emoflow,105,disgust,0.5249502368041733,0.5248763056624519,7.393114172138393e-05
current,state_current,text_plus_vadlex_emoflow,105,anger,0.5242636746143058,0.5240893066980024,0.0001743679163034
current,state_current,text_plus_vadlex_emoflow,105,anticipation,0.7275418632620964,0.7290955760229503,-0.0015537127608539
current,state_current,text_plus_vadbert_global,12,joy,0.6501751687601469,0.6534896516697,-0.003314482909553
current,state_current,text_plus_vadbert_global,12,trust,0.6073818260306497,0.6093406356462115,-0.0019588096155618
current,state_current,text_plus_vadbert_global,12,fear,0.5546049320583795,0.5541886350322203,0.0004162970261591
current,state_current,text_plus_vadbert_global,12,surprise,0.6698471913336681,0.6744755617080184,-0.0046283703743502
current,state_current,text_plus_vadbert_global,12,sadness,0.5785660464846694,0.5767677932864229,0.0017982531982464
current,state_current,text_plus_vadbert_global,12,disgust,0.526742190181943,0.5246661215590079,0.002076068622935
current,state_current,text_plus_vadbert_global,12,anger,0.5322276159654801,0.5270576699148127,0.0051699460506673
current,state_current,text_plus_vadbert_global,12,anticipation,0.7258959177313805,0.7279575724703188,-0.0020616547389382
current,state_current,text_plus_vadbert_global,24,joy,0.6518242614069246,0.6534212626538413,-0.0015970012469166
current,state_current,text_plus_vadbert_global,24,trust,0.6072737999915715,0.6074307895747131,-0.0001569895831415
current,state_current,text_plus_vadbert_global,24,fear,0.5537117903930131,0.5506179066834804,0.0030938837095326
current,state_current,text_plus_vadbert_global,24,surprise,0.6753787606806921,0.6767367346220203,-0.0013579739413281
current,state_current,text_plus_vadbert_global,24,sadness,0.5737265415549598,0.574085684430512,-0.0003591428755521
current,state_current,text_plus_vadbert_global,24,disgust,0.5172659817351598,0.5203557037654578,-0.003089722030298
current,state_current,text_plus_vadbert_global,24,anger,0.5217578321026597,0.5238530176350734,-0.0020951855324137
current,state_current,text_plus_vadbert_global,24,anticipation,0.7282712072403743,0.732987106017192,-0.0047158987768176
current,state_current,text_plus_vadbert_global,42,joy,0.6541457435451347,0.6563774759241348,-0.002231732379
current,state_current,text_plus_vadbert_global,42,trust,0.6047424087342204,0.6043636699109738,0.0003787388232465
current,state_current,text_plus_vadbert_global,42,fear,0.5510214275011238,0.5498395409899834,0.0011818865111403
current,state_current,text_plus_vadbert_global,42,surprise,0.6737446197991391,0.6781097838652047,-0.0043651640660655
current,state_current,text_plus_vadbert_global,42,sadness,0.5744643790280439,0.5802800466744458,-0.0058156676464018
current,state_current,text_plus_vadbert_global,42,disgust,0.5225511898173769,0.5286508860432027,-0.0060996962258257
current,state_current,text_plus_vadbert_global,42,anger,0.527997904250442,0.5255413075467732,0.0024565967036688
current,state_current,text_plus_vadbert_global,42,anticipation,0.7279245866172153,0.7308743588956114,-0.0029497722783961
current,state_current,text_plus_vadbert_global,73,joy,0.6541262640975488,0.6532924439901184,0.0008338201074303
current,state_current,text_plus_vadbert_global,73,trust,0.6099532113994045,0.6052926471855874,0.0046605642138171
current,state_current,text_plus_vadbert_global,73,fear,0.5534073614790598,0.556292785676672,-0.0028854241976121
current,state_current,text_plus_vadbert_global,73,surprise,0.675530573271358,0.6722772983382069,0.003253274933151
current,state_current,text_plus_vadbert_global,73,sadness,0.5795528287416671,0.5782601322706461,0.001292696471021
current,state_current,text_plus_vadbert_global,73,disgust,0.5280509765895554,0.5250194296646141,0.0030315469249412
current,state_current,text_plus_vadbert_global,73,anger,0.5320378151260504,0.5276488529372763,0.0043889621887741
current,state_current,text_plus_vadbert_global,73,anticipation,0.7293519695044473,0.726186422313717,0.0031655471907302
current,state_current,text_plus_vadbert_global,105,joy,0.6544796798029556,0.6528261037655609,0.0016535760373946
current,state_current,text_plus_vadbert_global,105,trust,0.6098245899637784,0.608815542093169,0.0010090478706094
current,state_current,text_plus_vadbert_global,105,fear,0.5535359555025824,0.5554271937314782,-0.0018912382288958
current,state_current,text_plus_vadbert_global,105,surprise,0.6754357357683807,0.675226421270869,0.0002093144975117
current,state_current,text_plus_vadbert_global,105,sadness,0.577056225379014,0.5749274521183981,0.0021287732606158
current,state_current,text_plus_vadbert_global,105,disgust,0.524546777821887,0.5248763056624519,-0.0003295278405649
current,state_current,text_plus_vadbert_global,105,anger,0.5265133740028156,0.5240893066980024,0.0024240673048132
current,state_current,text_plus_vadbert_global,105,anticipation,0.7314086256877478,0.7290955760229503,0.0023130496647975
current,state_current,text_plus_vadbert_emoflow,12,joy,0.6536201831691723,0.6534896516697,0.0001305314994722
current,state_current,text_plus_vadbert_emoflow,12,trust,0.6101603798942747,0.6093406356462115,0.0008197442480631
current,state_current,text_plus_vadbert_emoflow,12,fear,0.5513535854515396,0.5541886350322203,-0.0028350495806807
current,state_current,text_plus_vadbert_emoflow,12,surprise,0.6762974490831586,0.6744755617080184,0.0018218873751402
current,state_current,text_plus_vadbert_emoflow,12,sadness,0.5781181619256017,0.5767677932864229,0.0013503686391788
current,state_current,text_plus_vadbert_emoflow,12,disgust,0.5224126801979488,0.5246661215590079,-0.002253441361059
current,state_current,text_plus_vadbert_emoflow,12,anger,0.5250414354687613,0.5270576699148127,-0.0020162344460514
current,state_current,text_plus_vadbert_emoflow,12,anticipation,0.7300996518189459,0.7279575724703188,0.002142079348627
current,state_current,text_plus_vadbert_emoflow,24,joy,0.6576746922139586,0.6534212626538413,0.0042534295601173
current,state_current,text_plus_vadbert_emoflow,24,trust,0.6115256523755322,0.6074307895747131,0.0040948628008191
current,state_current,text_plus_vadbert_emoflow,24,fear,0.5549839555849845,0.5506179066834804,0.004366048901504
current,state_current,text_plus_vadbert_emoflow,24,surprise,0.6765816808309726,0.6767367346220203,-0.0001550537910477
current,state_current,text_plus_vadbert_emoflow,24,sadness,0.5779356220756525,0.574085684430512,0.0038499376451405
current,state_current,text_plus_vadbert_emoflow,24,disgust,0.5203364125189577,0.5203557037654578,-1.929124650013048e-05
current,state_current,text_plus_vadbert_emoflow,24,anger,0.5237760270118177,0.5238530176350734,-7.699062325572381e-05
current,state_current,text_plus_vadbert_emoflow,24,anticipation,0.7296465081906639,0.732987106017192,-0.003340597826528
current,state_current,text_plus_vadbert_emoflow,42,joy,0.6571315996847912,0.6563774759241348,0.0007541237606564
current,state_current,text_plus_vadbert_emoflow,42,trust,0.6072069261368068,0.6043636699109738,0.002843256225833
current,state_current,text_plus_vadbert_emoflow,42,fear,0.557289800931375,0.5498395409899834,0.0074502599413915
current,state_current,text_plus_vadbert_emoflow,42,surprise,0.672418242819747,0.6781097838652047,-0.0056915410454576
current,state_current,text_plus_vadbert_emoflow,42,sadness,0.582861809484921,0.5802800466744458,0.0025817628104751
current,state_current,text_plus_vadbert_emoflow,42,disgust,0.5235929505400796,0.5286508860432027,-0.005057935503123
current,state_current,text_plus_vadbert_emoflow,42,anger,0.5277398196228478,0.5255413075467732,0.0021985120760745
current,state_current,text_plus_vadbert_emoflow,42,anticipation,0.7319744447824764,0.7308743588956114,0.001100085886865
current,state_current,text_plus_vadbert_emoflow,73,joy,0.6532948746394498,0.6532924439901184,2.4306493313641653e-06
current,state_current,text_plus_vadbert_emoflow,73,trust,0.6122879493715391,0.6052926471855874,0.0069953021859516
current,state_current,text_plus_vadbert_emoflow,73,fear,0.558097497599277,0.556292785676672,0.001804711922605
current,state_current,text_plus_vadbert_emoflow,73,surprise,0.6750898672456134,0.6722772983382069,0.0028125689074064
current,state_current,text_plus_vadbert_emoflow,73,sadness,0.578865299268322,0.5782601322706461,0.0006051669976758
current,state_current,text_plus_vadbert_emoflow,73,disgust,0.5328930328930329,0.5250194296646141,0.0078736032284187
current,state_current,text_plus_vadbert_emoflow,73,anger,0.5243972445464983,0.5276488529372763,-0.0032516083907779
current,state_current,text_plus_vadbert_emoflow,73,anticipation,0.7281435635866016,0.726186422313717,0.0019571412728845
current,state_current,text_plus_vadbert_emoflow,105,joy,0.6536447052337259,0.6528261037655609,0.0008186014681649
current,state_current,text_plus_vadbert_emoflow,105,trust,0.6073174578142249,0.608815542093169,-0.0014980842789441
current,state_current,text_plus_vadbert_emoflow,105,fear,0.5530514887316993,0.5554271937314782,-0.0023757049997789
current,state_current,text_plus_vadbert_emoflow,105,surprise,0.673616680032077,0.675226421270869,-0.0016097412387919
current,state_current,text_plus_vadbert_emoflow,105,sadness,0.57148056044156,0.5749274521183981,-0.003446891676838
current,state_current,text_plus_vadbert_emoflow,105,disgust,0.5258009906577215,0.5248763056624519,0.0009246849952695
current,state_current,text_plus_vadbert_emoflow,105,anger,0.5197454072038189,0.5240893066980024,-0.0043438994941834
current,state_current,text_plus_vadbert_emoflow,105,anticipation,0.7277307899946014,0.7290955760229503,-0.0013647860283488
current,state_current,text_plus_all_affective,12,joy,0.6532654863535052,0.6534896516697,-0.0002241653161947
current,state_current,text_plus_all_affective,12,trust,0.6089968357136748,0.6093406356462115,-0.0003437999325367
current,state_current,text_plus_all_affective,12,fear,0.5549396804695141,0.5541886350322203,0.0007510454372938
current,state_current,text_plus_all_affective,12,surprise,0.6764047339801684,0.6744755617080184,0.00192917227215
current,state_current,text_plus_all_affective,12,sadness,0.5757422686198574,0.5767677932864229,-0.0010255246665654
current,state_current,text_plus_all_affective,12,disgust,0.5299834710743802,0.5246661215590079,0.0053173495153722
current,state_current,text_plus_all_affective,12,anger,0.5308144060001415,0.5270576699148127,0.0037567360853287
current,state_current,text_plus_all_affective,12,anticipation,0.7297468928603829,0.7279575724703188,0.001789320390064
current,state_current,text_plus_all_affective,24,joy,0.6591633385775949,0.6534212626538413,0.0057420759237536
current,state_current,text_plus_all_affective,24,trust,0.6045319665497707,0.6074307895747131,-0.0028988230249423
current,state_current,text_plus_all_affective,24,fear,0.5532844437509752,0.5506179066834804,0.0026665370674947
current,state_current,text_plus_all_affective,24,surprise,0.6769395781194136,0.6767367346220203,0.0002028434973933
