task_display,strategy,emotion,f1_mean,f1_std,delta_vs_text_f1_mean,delta_vs_text_f1_std
current,text_only,anger,0.5256380309463876,0.0017068212131657,0.0,0.0
current,text_only,anticipation,0.7294202071439579,0.0026238985675073,0.0,0.0
current,text_only,disgust,0.5247136893389468,0.0029417571303491,0.0,0.0
current,text_only,fear,0.5532732124227668,0.0028912023772678,0.0,0.0
current,text_only,joy,0.653881387600671,0.0014191641443025,0.0,0.0
current,text_only,sadness,0.576864221756085,0.002504848837075,0.0,0.0
current,text_only,surprise,0.6753651599608639,0.002222594222055,0.0,0.0
current,text_only,trust,0.6070486568821309,0.0021687439042197,0.0,0.0
current,text_plus_all_affective,anger,0.5282071951472224,0.0036969951155434,0.0025691642008348,0.0034369176047796
current,text_plus_all_affective,sadness,0.5789345978800651,0.0022866447514348,0.0020703761239801,0.0023962477690691
current,text_plus_all_affective,joy,0.6554905436465763,0.0032850776966085,0.0016091560459051,0.0029125497126614
current,text_plus_all_affective,fear,0.5534432457853169,0.0012253693418487,0.00017003336255,0.0033880714034773
current,text_plus_all_affective,trust,0.6069850259295826,0.0017734871115094,-6.363095254833251e-05,0.002967886509707
current,text_plus_all_affective,disgust,0.5246133082479778,0.0048649658135837,-0.000100381090969,0.0062910043224804
current,text_plus_all_affective,anticipation,0.7287931788351489,0.0029325647892248,-0.0006270283088089,0.0025435365492374
current,text_plus_all_affective,surprise,0.6740681744570136,0.0043535116674238,-0.0012969855038502,0.006012876489944
current,text_plus_vadbert_emoflow,trust,0.6096996731184755,0.0023523585086602,0.0026510162363445,0.0032234710215965
current,text_plus_vadbert_emoflow,fear,0.554955265659775,0.0028249321461783,0.0016820532370082,0.0043977467593776
current,text_plus_vadbert_emoflow,joy,0.6550732109882196,0.0021400389772705,0.0011918233875484,0.0017496645019704
current,text_plus_vadbert_emoflow,sadness,0.5778522906392114,0.0040865034849202,0.0009880688831264,0.0027693367112279
current,text_plus_vadbert_emoflow,disgust,0.5250072133615481,0.0048312615913293,0.0002935240226012,0.0048238721493603
current,text_plus_vadbert_emoflow,anticipation,0.7295189916746578,0.0016935277015512,9.878453069995796e-05,0.0023771063123351
current,text_plus_vadbert_emoflow,surprise,0.6748007840023137,0.0017729758669438,-0.0005643759585501,0.0033408892663396
current,text_plus_vadbert_emoflow,anger,0.5241399867707488,0.0028845443382613,-0.0014980441756388,0.0026041468097957
current,text_plus_vadbert_global,anger,0.5281069082894896,0.0043386133193162,0.0024688773431019,0.0028202538300153
current,text_plus_vadbert_global,trust,0.6078351672239248,0.0021523080895778,0.0007865103417939,0.0024316181722783
current,text_plus_vadbert_global,fear,0.5532562933868317,0.0013343501961264,-1.6919035935147875e-05,0.0024001718124456
current,text_plus_vadbert_global,sadness,0.5766732042376709,0.0025290079093944,-0.0001910175184141,0.0032865251270554
current,text_plus_vadbert_global,anticipation,0.728570461356233,0.0020202612803797,-0.0008497457877248,0.0034260701350071
current,text_plus_vadbert_global,disgust,0.5238314232291844,0.0042288576060136,-0.0008822661097624,0.0037573140377352
current,text_plus_vadbert_global,joy,0.6529502235225422,0.0018788490953423,-0.0009311640781289,0.0020982776468369
current,text_plus_vadbert_global,surprise,0.6739873761706476,0.0024297744139652,-0.0013777837902162,0.0032960860257957
current,text_plus_vadlex_emoflow,trust,0.6087407410407686,0.0034414455973233,0.0016920841586375,0.0023736089498723
current,text_plus_vadlex_emoflow,sadness,0.5784890849467665,0.0015812920502167,0.0016248631906816,0.0010177627239999
current,text_plus_vadlex_emoflow,joy,0.6555008444517075,0.0010058426070302,0.0016194568510364,0.0015242901699816
current,text_plus_vadlex_emoflow,fear,0.5537318460140581,0.00249410287821,0.0004586335912911,0.0044283743046158
current,text_plus_vadlex_emoflow,disgust,0.5251297920545672,0.0040424790465193,0.0004161027156204,0.0040960620385545
current,text_plus_vadlex_emoflow,anticipation,0.7291565631099308,0.0022932905700976,-0.000263644034027,0.0012872395478677
current,text_plus_vadlex_emoflow,surprise,0.674833137529924,0.0015781913039891,-0.0005320224309398,0.0021646252090866
