task_display,task,strategy,seed,emotion,f1
current,state_current,text_only,12,joy,0.6534896516697
current,state_current,text_only,12,trust,0.6093406356462115
current,state_current,text_only,12,fear,0.5541886350322203
current,state_current,text_only,12,surprise,0.6744755617080184
current,state_current,text_only,12,sadness,0.5767677932864229
current,state_current,text_only,12,disgust,0.5246661215590079
current,state_current,text_only,12,anger,0.5270576699148127
current,state_current,text_only,12,anticipation,0.7279575724703188
current,state_current,text_only,24,joy,0.6534212626538413
current,state_current,text_only,24,trust,0.6074307895747131
current,state_current,text_only,24,fear,0.5506179066834804
current,state_current,text_only,24,surprise,0.6767367346220203
current,state_current,text_only,24,sadness,0.574085684430512
current,state_current,text_only,24,disgust,0.5203557037654578
current,state_current,text_only,24,anger,0.5238530176350734
current,state_current,text_only,24,anticipation,0.732987106017192
current,state_current,text_only,42,joy,0.6563774759241348
current,state_current,text_only,42,trust,0.6043636699109738
current,state_current,text_only,42,fear,0.5498395409899834
current,state_current,text_only,42,surprise,0.6781097838652047
current,state_current,text_only,42,sadness,0.5802800466744458
current,state_current,text_only,42,disgust,0.5286508860432027
current,state_current,text_only,42,anger,0.5255413075467732
current,state_current,text_only,42,anticipation,0.7308743588956114
current,state_current,text_only,73,joy,0.6532924439901184
current,state_current,text_only,73,trust,0.6052926471855874
current,state_current,text_only,73,fear,0.556292785676672
current,state_current,text_only,73,surprise,0.6722772983382069
current,state_current,text_only,73,sadness,0.5782601322706461
current,state_current,text_only,73,disgust,0.5250194296646141
current,state_current,text_only,73,anger,0.5276488529372763
current,state_current,text_only,73,anticipation,0.726186422313717
current,state_current,text_only,105,joy,0.6528261037655609
current,state_current,text_only,105,trust,0.608815542093169
current,state_current,text_only,105,fear,0.5554271937314782
current,state_current,text_only,105,surprise,0.675226421270869
current,state_current,text_only,105,sadness,0.5749274521183981
current,state_current,text_only,105,disgust,0.5248763056624519
current,state_current,text_only,105,anger,0.5240893066980024
current,state_current,text_only,105,anticipation,0.7290955760229503
current,state_current,text_plus_vadlex_emoflow,12,joy,0.656844429347826
current,state_current,text_plus_vadlex_emoflow,12,trust,0.6111426698710946
current,state_current,text_plus_vadlex_emoflow,12,fear,0.5522645353392885
current,state_current,text_plus_vadlex_emoflow,12,surprise,0.6747393913867538
current,state_current,text_plus_vadlex_emoflow,12,sadness,0.5782928208027134
current,state_current,text_plus_vadlex_emoflow,12,disgust,0.5223443223443224
current,state_current,text_plus_vadlex_emoflow,12,anger,0.5284267386900743
current,state_current,text_plus_vadlex_emoflow,12,anticipation,0.7288950309439404
current,state_current,text_plus_vadlex_emoflow,24,joy,0.6547336472236274
current,state_current,text_plus_vadlex_emoflow,24,trust,0.6076144665789355
current,state_current,text_plus_vadlex_emoflow,24,fear,0.5517428897710588
current,state_current,text_plus_vadlex_emoflow,24,surprise,0.6775484414490311
current,state_current,text_plus_vadlex_emoflow,24,sadness,0.5772245826102567
current,state_current,text_plus_vadlex_emoflow,24,disgust,0.5216242525378946
current,state_current,text_plus_vadlex_emoflow,24,anger,0.5228519195612431
current,state_current,text_plus_vadlex_emoflow,24,anticipation,0.7312595614482407
current,state_current,text_plus_vadlex_emoflow,42,joy,0.6557208011104502
current,state_current,text_plus_vadlex_emoflow,42,trust,0.6032008070802953
current,state_current,text_plus_vadlex_emoflow,42,fear,0.5577121731093351
current,state_current,text_plus_vadlex_emoflow,42,surprise,0.6739915935402994
current,state_current,text_plus_vadlex_emoflow,42,sadness,0.5808534366379058
current,state_current,text_plus_vadlex_emoflow,42,disgust,0.5248756218905473
current,state_current,text_plus_vadlex_emoflow,42,anger,0.5260347129506008
current,state_current,text_plus_vadlex_emoflow,42,anticipation,0.7316806748187031
current,state_current,text_plus_vadlex_emoflow,73,joy,0.6559050445103858
current,state_current,text_plus_vadlex_emoflow,73,trust,0.6103467979429475
current,state_current,text_plus_vadlex_emoflow,73,fear,0.5546515362380902
current,state_current,text_plus_vadlex_emoflow,73,surprise,0.6735632183908046
current,state_current,text_plus_vadlex_emoflow,73,sadness,0.5791249642550758
current,state_current,text_plus_vadlex_emoflow,73,disgust,0.5318545266958989
current,state_current,text_plus_vadlex_emoflow,73,anger,0.5203835175290932
current,state_current,text_plus_vadlex_emoflow,73,anticipation,0.7264056850766737
current,state_current,text_plus_vadlex_emoflow,105,joy,0.6543003000662484
current,state_current,text_plus_vadlex_emoflow,105,trust,0.6113989637305699
current,state_current,text_plus_vadlex_emoflow,105,fear,0.5522880956125177
current,state_current,text_plus_vadlex_emoflow,105,surprise,0.674323042882731
current,state_current,text_plus_vadlex_emoflow,105,sadness,0.5769496204278813
current,state_current,text_plus_vadlex_emoflow,105,disgust,0.5249502368041733
current,state_current,text_plus_vadlex_emoflow,105,anger,0.5242636746143058
current,state_current,text_plus_vadlex_emoflow,105,anticipation,0.7275418632620964
current,state_current,text_plus_vadbert_global,12,joy,0.6501751687601469
current,state_current,text_plus_vadbert_global,12,trust,0.6073818260306497
current,state_current,text_plus_vadbert_global,12,fear,0.5546049320583795
current,state_current,text_plus_vadbert_global,12,surprise,0.6698471913336681
current,state_current,text_plus_vadbert_global,12,sadness,0.5785660464846694
current,state_current,text_plus_vadbert_global,12,disgust,0.526742190181943
current,state_current,text_plus_vadbert_global,12,anger,0.5322276159654801
current,state_current,text_plus_vadbert_global,12,anticipation,0.7258959177313805
current,state_current,text_plus_vadbert_global,24,joy,0.6518242614069246
current,state_current,text_plus_vadbert_global,24,trust,0.6072737999915715
current,state_current,text_plus_vadbert_global,24,fear,0.5537117903930131
current,state_current,text_plus_vadbert_global,24,surprise,0.6753787606806921
current,state_current,text_plus_vadbert_global,24,sadness,0.5737265415549598
current,state_current,text_plus_vadbert_global,24,disgust,0.5172659817351598
current,state_current,text_plus_vadbert_global,24,anger,0.5217578321026597
current,state_current,text_plus_vadbert_global,24,anticipation,0.7282712072403743
current,state_current,text_plus_vadbert_global,42,joy,0.6541457435451347
current,state_current,text_plus_vadbert_global,42,trust,0.6047424087342204
current,state_current,text_plus_vadbert_global,42,fear,0.5510214275011238
current,state_current,text_plus_vadbert_global,42,surprise,0.6737446197991391
current,state_current,text_plus_vadbert_global,42,sadness,0.5744643790280439
current,state_current,text_plus_vadbert_global,42,disgust,0.5225511898173769
current,state_current,text_plus_vadbert_global,42,anger,0.527997904250442
current,state_current,text_plus_vadbert_global,42,anticipation,0.7279245866172153
current,state_current,text_plus_vadbert_global,73,joy,0.6541262640975488
current,state_current,text_plus_vadbert_global,73,trust,0.6099532113994045
current,state_current,text_plus_vadbert_global,73,fear,0.5534073614790598
current,state_current,text_plus_vadbert_global,73,surprise,0.675530573271358
current,state_current,text_plus_vadbert_global,73,sadness,0.5795528287416671
current,state_current,text_plus_vadbert_global,73,disgust,0.5280509765895554
current,state_current,text_plus_vadbert_global,73,anger,0.5320378151260504
current,state_current,text_plus_vadbert_global,73,anticipation,0.7293519695044473
current,state_current,text_plus_vadbert_global,105,joy,0.6544796798029556
current,state_current,text_plus_vadbert_global,105,trust,0.6098245899637784
current,state_current,text_plus_vadbert_global,105,fear,0.5535359555025824
current,state_current,text_plus_vadbert_global,105,surprise,0.6754357357683807
current,state_current,text_plus_vadbert_global,105,sadness,0.577056225379014
current,state_current,text_plus_vadbert_global,105,disgust,0.524546777821887
current,state_current,text_plus_vadbert_global,105,anger,0.5265133740028156
current,state_current,text_plus_vadbert_global,105,anticipation,0.7314086256877478
current,state_current,text_plus_vadbert_emoflow,12,joy,0.6536201831691723
current,state_current,text_plus_vadbert_emoflow,12,trust,0.6101603798942747
current,state_current,text_plus_vadbert_emoflow,12,fear,0.5513535854515396
current,state_current,text_plus_vadbert_emoflow,12,surprise,0.6762974490831586
current,state_current,text_plus_vadbert_emoflow,12,sadness,0.5781181619256017
current,state_current,text_plus_vadbert_emoflow,12,disgust,0.5224126801979488
current,state_current,text_plus_vadbert_emoflow,12,anger,0.5250414354687613
current,state_current,text_plus_vadbert_emoflow,12,anticipation,0.7300996518189459
current,state_current,text_plus_vadbert_emoflow,24,joy,0.6576746922139586
current,state_current,text_plus_vadbert_emoflow,24,trust,0.6115256523755322
current,state_current,text_plus_vadbert_emoflow,24,fear,0.5549839555849845
current,state_current,text_plus_vadbert_emoflow,24,surprise,0.6765816808309726
current,state_current,text_plus_vadbert_emoflow,24,sadness,0.5779356220756525
current,state_current,text_plus_vadbert_emoflow,24,disgust,0.5203364125189577
current,state_current,text_plus_vadbert_emoflow,24,anger,0.5237760270118177
current,state_current,text_plus_vadbert_emoflow,24,anticipation,0.7296465081906639
current,state_current,text_plus_vadbert_emoflow,42,joy,0.6571315996847912
current,state_current,text_plus_vadbert_emoflow,42,trust,0.6072069261368068
current,state_current,text_plus_vadbert_emoflow,42,fear,0.557289800931375
current,state_current,text_plus_vadbert_emoflow,42,surprise,0.672418242819747
current,state_current,text_plus_vadbert_emoflow,42,sadness,0.582861809484921
current,state_current,text_plus_vadbert_emoflow,42,disgust,0.5235929505400796
current,state_current,text_plus_vadbert_emoflow,42,anger,0.5277398196228478
current,state_current,text_plus_vadbert_emoflow,42,anticipation,0.7319744447824764
current,state_current,text_plus_vadbert_emoflow,73,joy,0.6532948746394498
current,state_current,text_plus_vadbert_emoflow,73,trust,0.6122879493715391
current,state_current,text_plus_vadbert_emoflow,73,fear,0.558097497599277
current,state_current,text_plus_vadbert_emoflow,73,surprise,0.6750898672456134
current,state_current,text_plus_vadbert_emoflow,73,sadness,0.578865299268322
current,state_current,text_plus_vadbert_emoflow,73,disgust,0.5328930328930329
current,state_current,text_plus_vadbert_emoflow,73,anger,0.5243972445464983
current,state_current,text_plus_vadbert_emoflow,73,anticipation,0.7281435635866016
current,state_current,text_plus_vadbert_emoflow,105,joy,0.6536447052337259
current,state_current,text_plus_vadbert_emoflow,105,trust,0.6073174578142249
current,state_current,text_plus_vadbert_emoflow,105,fear,0.5530514887316993
current,state_current,text_plus_vadbert_emoflow,105,surprise,0.673616680032077
current,state_current,text_plus_vadbert_emoflow,105,sadness,0.57148056044156
current,state_current,text_plus_vadbert_emoflow,105,disgust,0.5258009906577215
current,state_current,text_plus_vadbert_emoflow,105,anger,0.5197454072038189
current,state_current,text_plus_vadbert_emoflow,105,anticipation,0.7277307899946014
current,state_current,text_plus_all_affective,12,joy,0.6532654863535052
current,state_current,text_plus_all_affective,12,trust,0.6089968357136748
current,state_current,text_plus_all_affective,12,fear,0.5549396804695141
current,state_current,text_plus_all_affective,12,surprise,0.6764047339801684
current,state_current,text_plus_all_affective,12,sadness,0.5757422686198574
current,state_current,text_plus_all_affective,12,disgust,0.5299834710743802
current,state_current,text_plus_all_affective,12,anger,0.5308144060001415
current,state_current,text_plus_all_affective,12,anticipation,0.7297468928603829
current,state_current,text_plus_all_affective,24,joy,0.6591633385775949
current,state_current,text_plus_all_affective,24,trust,0.6045319665497707
current,state_current,text_plus_all_affective,24,fear,0.5532844437509752
current,state_current,text_plus_all_affective,24,surprise,0.6769395781194136
current,state_current,text_plus_all_affective,24,sadness,0.5786099290780142
current,state_current,text_plus_all_affective,24,disgust,0.5266635205285513
current,state_current,text_plus_all_affective,24,anger,0.5301837270341208
current,state_current,text_plus_all_affective,24,anticipation,0.7317609315589354
current,state_current,text_plus_all_affective,42,joy,0.657614300446889
current,state_current,text_plus_all_affective,42,trust,0.6079889330797165
current,state_current,text_plus_all_affective,42,fear,0.5535363964894167
current,state_current,text_plus_all_affective,42,surprise,0.6664099799784383
current,state_current,text_plus_all_affective,42,sadness,0.5821744997946371
current,state_current,text_plus_all_affective,42,disgust,0.5234718479648277
current,state_current,text_plus_all_affective,42,anger,0.530114017437961
current,state_current,text_plus_all_affective,42,anticipation,0.7306805960977109
current,state_current,text_plus_all_affective,73,joy,0.6563352441193911
current,state_current,text_plus_all_affective,73,trust,0.6075252888644348
current,state_current,text_plus_all_affective,73,fear,0.551563951687829
current,state_current,text_plus_all_affective,73,surprise,0.6757718434388815
current,state_current,text_plus_all_affective,73,sadness,0.5788691295490833
current,state_current,text_plus_all_affective,73,disgust,0.5259801926468594
current,state_current,text_plus_all_affective,73,anger,0.528065714844514
current,state_current,text_plus_all_affective,73,anticipation,0.727346253149594
current,state_current,text_plus_all_affective,105,joy,0.6510743487355011
current,state_current,text_plus_all_affective,105,trust,0.6058821054403164
current,state_current,text_plus_all_affective,105,fear,0.5538917565288496
current,state_current,text_plus_all_affective,105,surprise,0.6748147367681663
current,state_current,text_plus_all_affective,105,sadness,0.5792771623587334
current,state_current,text_plus_all_affective,105,disgust,0.5169675090252708
current,state_current,text_plus_all_affective,105,anger,0.5218581104193747
current,state_current,text_plus_all_affective,105,anticipation,0.7244312205091216
forecast,forecast_next,text_only,12,joy,0.6204839563188531
forecast,forecast_next,text_only,12,trust,0.5849166910260157
forecast,forecast_next,text_only,12,fear,0.5260907695680772
forecast,forecast_next,text_only,12,surprise,0.6954029850746268
forecast,forecast_next,text_only,12,sadness,0.5241635687732342
forecast,forecast_next,text_only,12,disgust,0.4744165821133497
forecast,forecast_next,text_only,12,anger,0.4615003304692663
forecast,forecast_next,text_only,12,anticipation,0.7408970208431851
forecast,forecast_next,text_only,24,joy,0.6274907674201534
forecast,forecast_next,text_only,24,trust,0.592465016146394
forecast,forecast_next,text_only,24,fear,0.5243066216354518
forecast,forecast_next,text_only,24,surprise,0.6999925777480888
